stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S0904000694,大室十文字,36.7240004416844,139.748445432228,0,1,,,,,,,
S090400069400000,大室十文字,36.7240004416844,139.748445432228,Z006770,0,S0904000694,,,,,,
S0904000695,向原,36.7241134011474,139.755562891483,0,1,,,,,,,
S090400069500000,向原,36.7241134011474,139.755562891483,Z006780,0,S0904000695,,,,,,
S0904000696,蛇木入口,36.7244260217483,139.764381589148,0,1,,,,,,,
S090400069600000,蛇木入口,36.7244260217483,139.764381589148,Z006790,0,S0904000696,,,,,,
S0904000697,矢野口,36.7245910741339,139.772367029475,0,1,,,,,,,
S090400069700000,矢野口,36.7245910741339,139.772367029475,Z006800,0,S0904000697,,,,,,
S0904000698,上の原,36.7253289061143,139.776012526078,0,1,,,,,,,
S090400069800000,上の原,36.7253289061143,139.776012526078,Z006810,0,S0904000698,,,,,,
S0904000699,沢又入口,36.7267091341976,139.785595000041,0,1,,,,,,,
S090400069900000,沢又入口,36.7267091341976,139.785595000041,Z006820,0,S0904000699,,,,,,
S0904000700,和田新道入口,36.7294867155526,139.791358282396,0,1,,,,,,,
S090400070000000,和田新道入口,36.7294867155526,139.791358282396,Z006830,0,S0904000700,,,,,,
S0904000701,和田,36.7314396589534,139.792920562724,0,1,,,,,,,
S090400070100000,和田,36.7314396589534,139.792920562724,Z006840,0,S0904000701,,,,,,
S0904000702,小林農協前,36.7297474876054,139.813300892519,0,1,,,,,,,
S090400070200000,小林農協前,36.7297474876054,139.813300892519,Z006850,0,S0904000702,,,,,,
S0904000703,公民館前（日光市）,36.7278380581608,139.818370003901,0,1,,,,,,,
S090400070300000,公民館前（日光市）,36.7278380581608,139.818370003901,Z006860,0,S0904000703,,,,,,
S0904000704,樋場,36.7271263839143,139.821529496501,0,1,,,,,,,
S090400070400000,樋場,36.7271263839143,139.821529496501,Z006870,0,S0904000704,,,,,,
S0904000705,大木,36.7258418961153,139.827084649852,0,1,,,,,,,
S090400070500000,大木,36.7258418961153,139.827084649852,Z006880,0,S0904000705,,,,,,
S0904000706,細内,36.7250087622697,139.833403607877,0,1,,,,,,,
S090400070600000,細内,36.7250087622697,139.833403607877,Z006890,0,S0904000706,,,,,,
S0904000707,六斗蒔,36.7238631121222,139.836875594507,0,1,,,,,,,
S090400070700000,六斗蒔,36.7238631121222,139.836875594507,Z006900,0,S0904000707,,,,,,
S0904000708,ドックセンター入口,36.7218581946508,139.841250323509,0,1,,,,,,,
S090400070800000,ドックセンター入口,36.7218581946508,139.841250323509,Z006910,0,S0904000708,,,,,,
S0904000709,下小林,36.7193932496629,139.845208441627,0,1,,,,,,,
S090400070900000,下小林,36.7193932496629,139.845208441627,Z006920,0,S0904000709,,,,,,
S0904000710,佐野新都市バスターミナル,36.2948423884335,139.601463511387,0,1,,,,,,,
S090400071000000,佐野新都市バスターミナル,36.2948423884335,139.601463511387,Z006930,0,S0904000710,,,,,,
S090400071000001,佐野新都市バスターミナル,36.2948423884335,139.601463511387,Z006931,0,S0904000710,,,,,,
S0904000711,佐野アウトレット,36.2927072419905,139.603859244073,0,1,,,,,,,
S090400071100000,佐野アウトレット,36.2927072419905,139.603859244073,Z006940,0,S0904000711,,,,,,
S090400071100001,佐野アウトレット,36.2927072419905,139.603859244073,Z006941,0,S0904000711,,,,,,
S0904000712,イオンモール佐野新都市,36.299017364901,139.60580323651,0,1,,,,,,,
S090400071200000,イオンモール佐野新都市,36.299017364901,139.60580323651,Z006950,0,S0904000712,,,,,,
S090400071200001,イオンモール佐野新都市,36.299017364901,139.60580323651,Z006951,0,S0904000712,,,,,,
S0904000713,佐野短大,36.3022375065811,139.605803088246,0,1,,,,,,,
S090400071300000,佐野短大,36.3022375065811,139.605803088246,Z006960,0,S0904000713,,,,,,
S090400071300001,佐野短大,36.3022375065811,139.605803088246,Z006961,0,S0904000713,,,,,,
S0904000714,工業団地南（佐野市）,36.3073150351134,139.602747552645,0,1,,,,,,,
S090400071400000,工業団地南（佐野市）,36.3073150351134,139.602747552645,Z006970,0,S0904000714,,,,,,
S090400071400001,工業団地南（佐野市）,36.3073150351134,139.602747552645,Z006971,0,S0904000714,,,,,,
S0904000715,佐野警察署南,36.3050928346834,139.590387570345,0,1,,,,,,,
S090400071500000,佐野警察署南,36.3050928346834,139.590387570345,Z006980,0,S0904000715,,,,,,
S0904000716,佐野医師会病院,36.3042507653145,139.582054967801,0,1,,,,,,,
S090400071600000,佐野医師会病院,36.3042507653145,139.582054967801,Z006990,0,S0904000716,,,,,,
S0904000717,佐野厄除け大師,36.3115588294752,139.571638829673,0,1,,,,,,,
S090400071700000,佐野厄除け大師,36.3115588294752,139.571638829673,Z007000,0,S0904000717,,,,,,
S0904000718,大町（佐野市）,36.3136766536535,139.571360977451,0,1,,,,,,,
S090400071800000,大町（佐野市）,36.3136766536535,139.571360977451,Z007010,0,S0904000718,,,,,,
S0904000719,佐野駅,36.316350114653,139.579137986251,0,1,,,,,,,
S090400071900000,佐野駅,36.316350114653,139.579137986251,Z007020,0,S0904000719,,,,,,
S0904000720,相生町,36.3132255592345,139.58545704978,0,1,,,,,,,
S090400072000000,相生町,36.3132255592345,139.58545704978,Z007030,0,S0904000720,,,,,,
S0904000721,浅沼町,36.3130694120527,139.59038720308,0,1,,,,,,,
S090400072100000,浅沼町,36.3130694120527,139.59038720308,Z007040,0,S0904000721,,,,,,
S0904000722,佐野市文化会館前,36.3080526099848,139.591672049604,0,1,,,,,,,
S090400072200000,佐野市文化会館前,36.3080526099848,139.591672049604,Z007050,0,S0904000722,,,,,,
S0904000723,竹林,36.5773869422342,139.906633490372,0,1,,,,,,,
S090400072300000,竹林,36.5773869422342,139.906633490372,Z007060,0,S0904000723,,,,,,
S0904000724,豊郷南小学校前,36.5794440447994,139.908404081937,0,1,,,,,,,
